"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 13 12:54:54 GMT 2024","Fri Sep 13 12:54:54 GMT 2024","641","","Test Adventure Trips Page","","com.aplicy.qa.automation.canadawanderlust.CWApplicationCoreTests$AdventureTripsTests","adventureTripsPage","Verify that the Adventure Trips page loads correctly",""
"passed","Fri Sep 13 12:54:55 GMT 2024","Fri Sep 13 12:54:56 GMT 2024","732","","Test Explore Destinations Page","","com.aplicy.qa.automation.canadawanderlust.CWApplicationCoreTests$ExploreDestinationsTests","exploreDestinationsPageTitle","Verify that the Destinations page title is correct",""
"passed","Fri Sep 13 12:54:54 GMT 2024","Fri Sep 13 12:54:55 GMT 2024","616","","Test Adventure Trips Page","","com.aplicy.qa.automation.canadawanderlust.CWApplicationCoreTests$AdventureTripsTests","theBestBeachesInCapeBretonPage","Verify that the The Best Beaches in Cape Breton",""
"passed","Fri Sep 13 12:54:53 GMT 2024","Fri Sep 13 12:54:54 GMT 2024","722","","Test Contact Page","","com.aplicy.qa.automation.canadawanderlust.CWApplicationCoreTests$ContactPageTests","contactPageTitle","Verify Contact Page Title",""
"passed","Fri Sep 13 12:54:46 GMT 2024","Fri Sep 13 12:54:53 GMT 2024","7307","","Canada Wanderlust Application Core Tests","","com.aplicy.qa.automation.canadawanderlust.CWApplicationCoreTests","login","Verify that the CanadaWanderlust home page title is correct",""
